group,index,start,end,duration,transcript,question_mark,elipses,nwords,duration_seconds,words_per_second,word_present_maybe,word_present_sort_of,word_present_unsure,word_present_dont_know,word_present_confused,word_present_possibly,liwc_certitude
orange,1,00:03:18,00:03:20,00:00:02,"It's table 6, right?",TRUE,FALSE,4,2.3148148148148007,1.7280000000000106,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
orange,2,00:03:20,00:03:21,00:00:01,I think so.,FALSE,FALSE,3,1.1574074074074003,2.5920000000000156,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
orange,3,00:03:28,00:03:30,00:00:02,Always go with basic assumptions.,FALSE,FALSE,5,2.3148148148148007,2.160000000000013,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
orange,4,00:03:34,00:03:38,00:00:04,"Unless it's about someone in that case, don't.",FALSE,FALSE,8,4.629629629629601,1.7280000000000106,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
orange,5,00:03:49,00:03:50,00:00:01,Henry.,FALSE,FALSE,1,1.1574074074074003,0.8640000000000053,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
orange,6,00:03:58,00:03:59,00:00:01,Yes.,FALSE,FALSE,1,1.1574074074074439,0.8639999999999728,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
orange,7,00:04:02,00:04:04,00:00:02,I've been sitting with you.,FALSE,FALSE,5,2.3148148148148007,2.160000000000013,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
orange,8,00:04:04,00:04:06,00:00:02,Don't like it because we're right in front of Ms. Ronkel.,FALSE,FALSE,11,2.314814814814844,4.751999999999939,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
orange,9,00:04:08,00:04:10,00:00:02,But it's okay. You can live with it.,FALSE,FALSE,8,2.3148148148148007,3.4560000000000213,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
orange,10,00:04:13,00:04:15,00:00:02,Did you... did you do the search?,TRUE,TRUE,7,2.3148148148148007,3.0240000000000187,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
orange,11,00:04:16,00:04:17,00:00:01,Yes.,FALSE,FALSE,1,1.1574074074074439,0.8639999999999728,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
orange,12,00:04:17,00:04:19,00:00:02,It's for next class.,FALSE,FALSE,4,2.3148148148148007,1.7280000000000106,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
